Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-20162,2819,993,4,Electronics,Accessories,COD
B-20163,1075,268,2,Furniture,Furnishings,UPI
B-20163,4061,2563,1,Electronics,Accessories,UPI
B-20164,5547,497,2,Electronics,Phones,Credit Card
B-20164,3995,769,4,Furniture,Chairs,COD
B-20164,518,141,4,Clothing,Shirt,Credit Card
B-20165,1522,762,3,Clothing,T-shirt,Credit Card
B-20165,3196,584,4,Electronics,Phones,Credit Card
B-20166,1156,-386,5,Clothing,Stole,COD
B-20166,3691,347,5,Electronics,Printers,Debit Card
B-20167,1857,938,4,Electronics,Printers,COD
B-20168,1794,467,4,Electronics,Electronic Games,Credit Card
B-20169,4535,697,3,Electronics,Accessories,UPI
B-20170,3760,1445,1,Furniture,Chairs,Debit Card
B-20171,5325,852,2,Furniture,Bookcases,UPI
B-20172,626,-152,3,Clothing,Trousers,COD
B-20173,1924,-939,4,Clothing,Shirt,EMI
B-20174,1132,474,5,Electronics,Accessories,Credit Card
B-20174,1740,644,5,Clothing,T-shirt,COD
B-20175,265,65,1,Clothing,Kurti,COD
B-20175,5317,848,3,Furniture,Tables,Debit Card
B-20176,922,-57,3,Clothing,Stole,Credit Card
B-20177,4848,449,1,Electronics,Printers,UPI
B-20178,1610,-146,1,Clothing,Trousers,Debit Card
B-20178,4222,743,3,Electronics,Phones,COD
B-20179,3835,2327,1,Electronics,Electronic Games,Credit Card
B-20180,1355,-119,1,Clothing,Saree,Credit Card
B-20180,2902,464,3,Furniture,Bookcases,EMI
B-20180,4680,283,2,Furniture,Chairs,COD
B-20181,1779,433,4,Clothing,Leggings,EMI
B-20181,2453,701,1,Electronics,Phones,EMI
B-20182,859,-407,2,Clothing,Hankerchief,COD
B-20183,5280,2495,4,Electronics,Phones,Credit Card
B-20184,4509,1486,3,Electronics,Electronic Games,Credit Card
B-20185,1880,566,2,Electronics,Electronic Games,Debit Card
B-20186,1431,760,4,Electronics,Electronic Games,COD
B-20187,5317,446,2,Electronics,Accessories,COD
B-20188,1234,340,3,Clothing,Trousers,COD
B-20188,1409,-428,2,Clothing,Saree,COD
B-20189,5269,2194,1,Electronics,Accessories,Debit Card
B-20189,3785,779,5,Furniture,Tables,Credit Card
B-20190,3733,967,5,Electronics,Printers,Debit Card
B-20190,5803,2012,1,Furniture,Chairs,Debit Card
B-20190,2234,646,4,Electronics,Electronic Games,Credit Card
B-20191,5251,1759,2,Furniture,Tables,UPI
B-20192,4227,764,1,Electronics,Accessories,Credit Card
B-20192,4199,1258,1,Furniture,Tables,UPI
B-20193,544,165,2,Clothing,Stole,Credit Card
B-20194,420,72,5,Clothing,Skirt,COD
B-20194,830,154,1,Clothing,T-shirt,COD
B-20195,4646,1440,5,Furniture,Furnishings,EMI
B-20196,4745,1060,5,Furniture,Furnishings,Debit Card
B-20196,254,37,2,Clothing,Skirt,EMI
B-20197,1253,-546,3,Clothing,Skirt,UPI
B-20198,736,236,3,Electronics,Accessories,EMI
B-20199,822,71,3,Electronics,Accessories,COD
B-20200,2571,1524,4,Electronics,Accessories,EMI
B-20200,5304,659,3,Electronics,Printers,EMI
B-20201,5078,2394,1,Furniture,Bookcases,COD
B-20202,1388,811,5,Clothing,Saree,UPI
B-20203,503,225,4,Furniture,Furnishings,EMI
B-20204,5420,1742,3,Furniture,Bookcases,EMI
B-20205,1420,604,4,Clothing,T-shirt,UPI
B-20205,4251,383,4,Electronics,Accessories,COD
B-20205,4821,1047,4,Furniture,Furnishings,Debit Card
B-20206,429,192,1,Clothing,Leggings,COD
B-20206,1528,701,2,Clothing,Hankerchief,EMI
B-20207,723,226,4,Furniture,Tables,EMI
B-20207,1165,97,1,Clothing,Skirt,UPI
B-20208,2402,1512,3,Electronics,Printers,COD
B-20209,352,-155,5,Clothing,Leggings,UPI
B-20210,1265,-253,3,Clothing,Shirt,Debit Card
B-20210,493,258,5,Electronics,Electronic Games,COD
B-20211,2932,192,3,Electronics,Accessories,EMI
B-20212,814,378,5,Furniture,Chairs,COD
B-20213,1389,741,1,Electronics,Phones,Debit Card
B-20214,5520,1786,5,Electronics,Phones,UPI
B-20214,950,7,4,Clothing,Hankerchief,Debit Card
B-20215,923,440,5,Clothing,T-shirt,UPI
B-20216,2992,932,5,Electronics,Printers,EMI
B-20217,2401,1267,4,Electronics,Phones,EMI
B-20218,5212,2208,3,Furniture,Bookcases,COD
B-20219,937,347,1,Electronics,Printers,UPI
B-20220,1372,-388,4,Clothing,Kurti,EMI
B-20220,5498,3570,3,Electronics,Phones,UPI
B-20220,883,350,2,Clothing,Skirt,UPI
B-20221,3669,1185,2,Electronics,Phones,Credit Card
B-20221,923,529,5,Electronics,Electronic Games,UPI
B-20222,2958,1024,3,Furniture,Chairs,Debit Card
B-20222,1775,453,4,Electronics,Phones,COD
B-20223,1654,657,1,Clothing,Leggings,Credit Card
B-20223,1715,703,5,Clothing,Saree,COD
B-20223,1738,-716,3,Clothing,Stole,UPI
B-20224,4420,2526,3,Electronics,Electronic Games,COD
B-20225,5987,868,3,Furniture,Bookcases,UPI
B-20225,3721,1776,1,Electronics,Phones,COD
B-20226,1190,127,3,Electronics,Accessories,UPI
B-20227,676,-144,1,Clothing,Hankerchief,COD
B-20228,2166,1363,5,Electronics,Phones,UPI
B-20229,1124,-539,3,Clothing,Hankerchief,COD
B-20230,2226,159,3,Furniture,Bookcases,Debit Card
B-20231,2490,67,3,Furniture,Furnishings,UPI
B-20232,1558,-271,2,Clothing,Kurti,Debit Card
B-20233,1464,95,3,Electronics,Accessories,UPI
B-20233,1451,-122,4,Clothing,Stole,UPI
B-20234,3343,938,3,Electronics,Accessories,UPI
B-20234,2379,726,5,Furniture,Bookcases,Credit Card
B-20235,950,601,5,Electronics,Phones,Credit Card
B-20236,4836,2279,1,Furniture,Bookcases,UPI
B-20236,1975,727,5,Furniture,Furnishings,COD
B-20237,4894,2013,4,Electronics,Electronic Games,UPI
B-20238,3811,1458,1,Furniture,Tables,UPI
B-20238,1783,6,3,Clothing,Stole,UPI
B-20239,1782,418,5,Furniture,Bookcases,UPI
B-20240,3188,145,5,Furniture,Furnishings,Credit Card
B-20241,3096,1800,2,Electronics,Accessories,COD
B-20242,1819,100,3,Clothing,Trousers,COD
B-20243,4866,684,4,Furniture,Tables,COD
B-20244,2502,144,4,Electronics,Phones,COD
B-20245,1489,78,1,Furniture,Chairs,UPI
B-20246,5500,1908,1,Furniture,Bookcases,UPI
B-20246,1904,-665,4,Clothing,Skirt,COD
B-20247,1360,5,4,Clothing,Leggings,COD
B-20247,3139,501,3,Electronics,Printers,Credit Card
B-20248,1117,-226,2,Clothing,Trousers,COD
B-20249,1305,703,2,Clothing,Saree,COD
B-20250,125,63,4,Clothing,Trousers,COD
B-20251,2693,326,1,Furniture,Furnishings,Credit Card
B-20251,1515,581,2,Electronics,Phones,COD
B-20252,3429,1893,3,Electronics,Phones,Debit Card
B-20253,3523,305,4,Electronics,Electronic Games,Debit Card
B-20254,1092,614,2,Clothing,Shirt,COD
B-20255,4061,595,5,Electronics,Electronic Games,COD
B-20256,1357,453,4,Furniture,Chairs,COD
B-20256,2523,829,4,Electronics,Accessories,UPI
B-20257,4185,1274,2,Furniture,Tables,UPI
B-20258,1300,268,3,Clothing,Stole,UPI
B-20259,1679,335,5,Clothing,Trousers,UPI
B-20259,4457,1221,5,Furniture,Bookcases,UPI
B-20259,2279,888,5,Furniture,Bookcases,COD
B-20260,2036,132,5,Electronics,Phones,UPI
B-20261,8,-3,4,Clothing,Trousers,Debit Card
B-20262,3144,538,5,Electronics,Accessories,Credit Card
B-20263,435,58,3,Clothing,Leggings,COD
B-20264,111,-29,3,Clothing,Kurti,Credit Card
B-20265,799,517,2,Clothing,Hankerchief,Debit Card
B-20266,1137,704,1,Clothing,Skirt,Credit Card
B-20267,223,-67,3,Clothing,Saree,Credit Card
B-20267,792,228,3,Electronics,Printers,UPI
B-20268,193,-73,4,Clothing,Hankerchief,COD
B-20268,506,147,1,Furniture,Chairs,Debit Card
B-20269,1847,27,2,Clothing,Leggings,Debit Card
B-20269,1547,942,4,Electronics,Phones,COD
B-20270,4002,2036,4,Electronics,Electronic Games,Credit Card
B-20270,2745,607,3,Furniture,Furnishings,COD
B-20271,3803,1443,3,Electronics,Phones,COD
B-20272,357,-42,4,Clothing,Stole,Debit Card
B-20273,1473,116,2,Clothing,T-shirt,UPI
B-20274,578,106,2,Electronics,Accessories,Debit Card
B-20275,208,-37,1,Clothing,Trousers,Debit Card
B-20275,4103,1649,1,Furniture,Chairs,EMI
B-20276,5767,2472,2,Electronics,Accessories,COD
B-20276,4294,2561,2,Electronics,Phones,EMI
B-20276,1249,241,5,Furniture,Chairs,Debit Card
B-20277,475,220,5,Clothing,Kurti,UPI
B-20278,3858,621,5,Electronics,Electronic Games,COD
B-20279,113,33,2,Clothing,Leggings,COD
B-20279,122,-9,1,Clothing,Shirt,UPI
B-20280,1674,302,4,Clothing,Skirt,COD
B-20281,3928,1647,2,Electronics,Accessories,COD
B-20282,196,67,4,Clothing,Skirt,EMI
B-20283,2477,74,4,Furniture,Tables,COD
B-20284,290,-8,2,Clothing,Kurti,UPI
B-20285,5081,2840,1,Electronics,Printers,Credit Card
B-20286,1143,-143,3,Clothing,Trousers,Credit Card
B-20287,1985,365,2,Electronics,Accessories,EMI
B-20288,1870,108,4,Clothing,Shirt,COD
B-20289,2000,1081,3,Clothing,T-shirt,COD
B-20290,1557,257,5,Furniture,Bookcases,Credit Card
B-20290,848,179,1,Clothing,Saree,Credit Card
B-20290,2327,635,2,Electronics,Electronic Games,UPI
B-20291,538,256,3,Electronics,Accessories,COD
B-20292,536,171,5,Clothing,T-shirt,Debit Card
B-20293,4740,773,2,Furniture,Furnishings,Credit Card
B-20294,680,236,2,Electronics,Accessories,COD
B-20295,2598,503,3,Furniture,Bookcases,UPI
B-20295,1103,-394,1,Clothing,Shirt,UPI
B-20296,224,18,3,Clothing,Skirt,EMI
B-20296,1108,124,5,Electronics,Phones,UPI
B-20297,2121,829,1,Electronics,Accessories,UPI
B-20298,3067,826,3,Furniture,Bookcases,Credit Card
B-20298,1384,-527,4,Clothing,Trousers,Credit Card
B-20299,1361,624,4,Furniture,Furnishings,UPI
B-20300,5138,553,4,Electronics,Electronic Games,COD
B-20300,614,281,1,Furniture,Tables,UPI
B-20300,1664,648,1,Electronics,Printers,Debit Card
B-20301,2968,1138,3,Electronics,Accessories,COD
B-20302,2362,574,4,Electronics,Accessories,UPI
B-20302,4798,128,2,Furniture,Bookcases,COD
B-20303,3691,281,1,Electronics,Printers,Credit Card
B-20303,5981,2613,5,Furniture,Chairs,UPI
B-20304,300,15,2,Electronics,Printers,Credit Card
B-20305,1511,113,2,Clothing,Shirt,UPI
B-20306,1864,758,2,Clothing,Trousers,COD
B-20306,3774,1481,2,Electronics,Electronic Games,Debit Card
B-20307,779,493,4,Clothing,T-shirt,COD
B-20308,5038,3250,1,Electronics,Electronic Games,Credit Card
B-20309,934,355,5,Clothing,Hankerchief,UPI
B-20309,1742,846,2,Clothing,Skirt,UPI
B-20310,2809,1124,4,Electronics,Printers,COD
B-20311,1002,274,3,Clothing,Shirt,UPI
B-20312,2181,1339,3,Electronics,Printers,EMI
B-20313,4522,1988,3,Electronics,Printers,Credit Card
B-20314,4060,240,5,Furniture,Chairs,COD
B-20315,752,-188,2,Clothing,T-shirt,Credit Card
B-20316,1620,891,5,Clothing,Trousers,COD
B-20317,5841,234,4,Furniture,Bookcases,Credit Card
B-20318,566,-60,3,Clothing,Saree,Debit Card
B-20318,4907,3049,1,Electronics,Electronic Games,Credit Card
B-20318,3062,1591,3,Electronics,Phones,Credit Card
B-20319,861,255,2,Furniture,Chairs,Credit Card
B-20320,713,272,1,Clothing,Leggings,Debit Card
B-20321,757,291,1,Electronics,Electronic Games,EMI
B-20322,2636,1498,3,Electronics,Accessories,Credit Card
B-20322,680,-59,3,Clothing,Hankerchief,Debit Card
B-20323,3776,2041,1,Electronics,Phones,COD
B-20324,265,115,4,Clothing,Saree,Debit Card
B-20325,4260,1946,1,Electronics,Phones,COD
B-20326,3520,2068,4,Electronics,Electronic Games,Debit Card
B-20326,3781,303,3,Electronics,Phones,UPI
B-20326,1805,761,5,Furniture,Furnishings,Credit Card
B-20327,4853,592,4,Furniture,Chairs,COD
B-20328,765,55,4,Electronics,Electronic Games,COD
B-20329,4436,260,3,Electronics,Electronic Games,Debit Card
B-20329,1585,264,3,Electronics,Printers,UPI
B-20330,514,-124,4,Clothing,T-shirt,Debit Card
B-20331,1742,132,3,Clothing,Shirt,Debit Card
B-20331,3342,289,5,Furniture,Tables,Credit Card
B-20332,700,257,4,Furniture,Tables,UPI
B-20333,1079,-322,4,Clothing,T-shirt,EMI
B-20334,868,38,2,Furniture,Bookcases,EMI
B-20334,3089,1727,2,Electronics,Phones,COD
B-20334,283,57,5,Clothing,Stole,COD
B-20335,2850,778,3,Electronics,Electronic Games,UPI
B-20336,86,1,3,Clothing,T-shirt,UPI
B-20337,5811,452,5,Furniture,Furnishings,UPI
B-20337,1345,323,3,Clothing,Stole,Credit Card
B-20338,5949,664,2,Furniture,Chairs,COD
B-20339,1476,-583,5,Clothing,T-shirt,COD
B-20339,3916,1833,4,Electronics,Accessories,COD
B-20340,4968,1586,1,Furniture,Tables,Debit Card
B-20340,4092,277,3,Furniture,Bookcases,COD
B-20341,521,363,2,Clothing,T-shirt,Debit Card
B-20342,4642,1024,4,Furniture,Bookcases,UPI
B-20343,1652,84,3,Clothing,T-shirt,Debit Card
B-20344,603,-164,5,Clothing,Shirt,Credit Card
B-20345,1718,304,1,Clothing,T-shirt,UPI
B-20346,1399,903,1,Electronics,Electronic Games,EMI
B-20347,1646,749,5,Furniture,Chairs,UPI
B-20347,5388,1456,4,Electronics,Phones,Credit Card
B-20348,5746,585,5,Furniture,Chairs,COD
B-20349,2217,160,5,Furniture,Furnishings,UPI
B-20350,1393,142,2,Furniture,Tables,UPI
B-20351,1953,304,3,Electronics,Printers,UPI
B-20351,2667,689,4,Electronics,Printers,COD
B-20351,1767,948,4,Electronics,Accessories,COD
B-20352,5190,650,4,Electronics,Phones,COD
B-20353,1116,366,1,Electronics,Printers,COD
B-20354,323,167,4,Electronics,Accessories,EMI
B-20354,429,-107,4,Clothing,Skirt,COD
B-20355,1991,1298,2,Clothing,Leggings,UPI
B-20355,3805,1241,5,Furniture,Chairs,UPI
B-20356,3209,296,3,Furniture,Bookcases,UPI
B-20356,1392,372,2,Clothing,Skirt,Debit Card
B-20357,5621,948,4,Electronics,Printers,Debit Card
